Entity,Code,Year,Death rate from amphetamine use disorders among both sexes,Death rate from opioid use disorders among both sexes,Total deaths from opioid use disorders among both sexes,Total deaths from cocaine use disorders among both sexes,Total deaths from other drug use disorders among both sexes,Total deaths from amphetamine use disorders among both sexes,Total deaths from drug use disorders among both sexes,Total deaths from mental and substance use disorders among both sexes,Total deaths from substance use disorders among both sexes,Period life expectancy at birth - Sex: total - Age: 0,Prevalence of current tobacco use (% of adults),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Population,Normalized Total deaths from opioid use disorders among both sexes,Normalized Total deaths from cocaine use disorders among both sexes,Normalized Total deaths from other drug use disorders among both sexes,Normalized Total deaths from amphetamine use disorders among both sexes,Normalized Total deaths from drug use disorders among both sexes,Normalized Total deaths from mental and substance use disorders among both sexes,Normalized Total deaths from substance use disorders among both sexes
Albania,ALB,1960,,,,,,,,,,56.4132,,,1608800.0,,,,,,,
Albania,ALB,1961,,,,,,,,,,57.488,,,1659800.0,,,,,,,
Albania,ALB,1962,,,,,,,,,,58.4944,,,1711319.0,,,,,,,
Albania,ALB,1963,,,,,,,,,,59.4792,,,1762621.0,,,,,,,
Albania,ALB,1964,,,,,,,,,,60.4035,,,1814135.0,,,,,,,
Albania,ALB,1965,,,,,,,,,,61.2735,,,1864791.0,,,,,,,
Albania,ALB,1966,,,,,,,,,,62.149,,,1914573.0,,,,,,,
Albania,ALB,1967,,,,,,,,,,62.976,,,1965598.0,,,,,,,
Albania,ALB,1968,,,,,,,,,,63.7876,,,2022272.0,,,,,,,
Albania,ALB,1969,,,,,,,,,,64.5384,,,2081695.0,,,,,,,
Albania,ALB,1970,,,,,,,,,,65.2343,,,2135479.0,,,,,,,
Albania,ALB,1971,,,,,,,,,,65.8959,,,2187853.0,,,,,,,
Albania,ALB,1972,,,,,,,,,,66.5263,,,2243126.0,,,,,,,
Albania,ALB,1973,,,,,,,,,,67.1066,,,2296752.0,,,,,,,
Albania,ALB,1974,,,,,,,,,,67.6334,,,2350124.0,,,,,,,
Albania,ALB,1975,,,,,,,,,,68.1198,,,2404831.0,,,,,,,
Albania,ALB,1976,,,,,,,,,,68.5695,,,2458526.0,,,,,,,
Albania,ALB,1977,,,,,,,,,,68.9918,,,2513546.0,,,,,,,
Albania,ALB,1978,,,,,,,,,,69.3665,,,2566266.0,,,,,,,
Albania,ALB,1979,,,,,,,,,,69.6169,,,2617832.0,,,,,,,
Albania,ALB,1980,,,,,,,,,,69.903,,,2671997.0,,,,,,,
Albania,ALB,1981,,,,,,,,,,70.1446,,,2726056.0,,,,,,,
Albania,ALB,1982,,,,,,,,,,70.4249,,,2784278.0,,,,,,,
Albania,ALB,1983,,,,,,,,,,70.7051,,,2843960.0,,,,,,,
Albania,ALB,1984,,,,,,,,,,70.9838,,,2904429.0,,,,,,,
Albania,ALB,1985,,,,,,,,,,71.2816,,,2964762.0,,,,,,,
Albania,ALB,1986,,,,,,,,,,71.6651,,,3022635.0,,,,,,,
Albania,ALB,1987,,,,,,,,,,71.9814,,,3083605.0,,,,,,,
Albania,ALB,1988,,,,,,,,,,72.2167,,,3142336.0,,,,,,,
Albania,ALB,1989,,,,,,,,,,72.4573,,,3227943.0,,,,,,,
Albania,ALB,1990,,,,,,,,,,72.7096,,,3286542.0,,,,,,,
Albania,ALB,1991,,,,,,,,,,73.0011,,,3266790.0,,,,,,,
Albania,ALB,1992,,,,,,,,,,73.303,,,3247039.0,,,,,,,
Albania,ALB,1993,,,,,,,,,,73.6377,,,3227287.0,,,,,,,
Albania,ALB,1994,,,,,,,,,,73.8367,,,3207536.0,,,,,,,
Albania,ALB,1995,,,,,,,,,,74.0218,,,3187784.0,,,,,,,
Albania,ALB,1996,,,,,,,,,,74.1134,,,3168033.0,,,,,,,
Albania,ALB,1997,,,,,,,,,,73.3832,,,3148281.0,,,,,,,
Albania,ALB,1998,,,,,,,,,,74.3572,,,3128530.0,,,,,,,
Albania,ALB,1999,,,,,,,,,,74.5684,,,3108778.0,,,,,,,
Albania,ALB,2000,0.03,0.7,22.16,2.19,4.4,0.85,29.6,43.72,43.73,74.8262,35.0,4.431,3089027.0,7.1737799637232044e-06,7.089611065231867e-07,1.4243967436995533e-06,2.75167552760141e-07,9.582305366706086e-06,1.4153324007851016e-05,1.4156561273177605e-05
Albania,ALB,2001,0.02,0.65,20.49,1.86,3.84,0.78,26.97,39.37,39.37,75.083,,,3060173.0,6.695699883634029e-06,6.078087742098241e-07,1.2548310177235078e-06,2.5488755047508753e-07,8.813227226042449e-06,1.2865285720774608e-05,1.2865285720774608e-05
Albania,ALB,2002,0.03,0.68,21.31,1.73,3.79,0.81,27.64,40.3,40.3,75.2987,,,3051010.0,6.984572321952402e-06,5.670253457051927e-07,1.2422115955044394e-06,2.654858555035874e-07,9.059295118665622e-06,1.3208740712092061e-05,1.3208740712092061e-05
Albania,ALB,2003,0.03,0.72,22.18,1.52,3.59,0.82,28.12,41.37,41.38,75.5566,,,3039616.0,7.2969743546553245e-06,5.00063165873584e-07,1.1810702404514254e-06,2.697709184318019e-07,9.251168568661305e-06,1.3610271823809323e-05,1.3613561713058493e-05
Albania,ALB,2004,0.03,0.75,22.95,1.45,3.51,0.84,28.75,41.97,41.97,75.9515,,,3026939.0,7.581916913423098e-06,4.790317875583221e-07,1.1595872926411797e-06,2.775080700337866e-07,9.498044063656388e-06,1.3865492499188123e-05,1.3865492499188123e-05
Albania,ALB,2005,0.05,1.22,36.94,2.45,6.05,1.61,47.05,65.8,65.81,76.4266,31.3,5.2974,3011487.0,1.2266365420139618e-05,8.135515776757463e-07,2.0089743040564345e-06,5.34619608186919e-07,1.562351091005872e-05,2.184967094329147e-05,2.185299156197586e-05
Albania,ALB,2006,0.05,1.21,36.45,2.43,5.97,1.6,46.45,65.71,65.71,76.9943,,,2992547.0,1.2180259825493134e-05,8.120173216995422e-07,1.9949561360272703e-06,5.346616109955834e-07,1.552189489421553e-05,2.195788403657486e-05,2.195788403657486e-05
Albania,ALB,2007,0.06,1.28,38.07,2.58,6.2,1.71,48.55,68.26,68.25,77.6907,,,2970017.0,1.28181084485375e-05,8.686818964335895e-07,2.087530138716378e-06,5.757542801943558e-07,1.6346707779787116e-05,2.2983033430448378e-05,2.2979666446353674e-05
Albania,ALB,2008,0.06,1.28,37.82,2.59,6.27,1.77,48.46,68.05,68.05,78.2484,,,2947314.0,1.2832022648418187e-05,8.78766225790669e-07,2.1273607087673724e-06,6.005468029534688e-07,1.6442089305720394e-05,2.308881917569692e-05,2.308881917569692e-05
Albania,ALB,2009,0.06,1.31,38.28,2.64,6.38,1.85,49.15,68.47,68.47,78.5088,,,2927519.0,1.307591855082751e-05,9.017874862639662e-07,2.1793197584712514e-06,6.319344127228551e-07,1.6788960208285583e-05,2.3388404994126424e-05,2.3388404994126424e-05
Albania,ALB,2010,0.06,1.24,36.11,2.52,6.2,1.81,46.64,65.03,65.02,78.4141,28.0,5.90031,2913021.0,1.2396065802477909e-05,8.650813021945259e-07,2.1283746323833575e-06,6.213480781635285e-07,1.601086981521932e-05,2.2323903603853183e-05,2.2320470741542883e-05
Albania,ALB,2011,0.05,1.05,30.34,2.07,5.71,1.56,39.68,57.32,57.32,78.3029,,,2905195.0,1.0443360944790281e-05,7.125167157454146e-07,1.9654446603412163e-06,5.369691191124864e-07,1.3658291439989399e-05,1.9730173017645976e-05,1.9730173017645976e-05
Albania,ALB,2012,0.04,0.77,22.27,1.65,3.9,1.03,28.84,42.43,42.43,78.0836,,,2900401.0,7.678248628379317e-06,5.688868539212336e-07,1.3446416547229159e-06,3.5512330881143676e-07,9.943452646720229e-06,1.462901164356239e-05,1.462901164356239e-05
Albania,ALB,2013,0.04,0.79,22.78,1.71,4.05,1.12,29.67,42.84,42.84,77.9951,,,2895092.0,7.868489153367147e-06,5.906548047523187e-07,1.3989192744133865e-06,3.868616265044427e-07,1.0248378980702513e-05,1.4797457213794934e-05,1.4797457213794934e-05
Albania,ALB,2014,0.04,0.75,21.72,1.67,3.89,1.08,28.35,41.32,41.32,78.0291,,,2889104.0,7.517901743931683e-06,5.780338817848025e-07,1.3464382036783723e-06,3.73818318759034e-07,9.81273086742464e-06,1.4302011973262298e-05,1.4302011973262298e-05
Albania,ALB,2015,0.04,0.73,20.94,1.61,3.74,1.03,27.32,39.86,39.86,78.358,25.1,5.03752,2880703.0,7.269058976229066e-06,5.588913539507544e-07,1.2982942011029947e-06,3.5755161153371243e-07,9.483796142816527e-06,1.3836900228867745e-05,1.3836900228867745e-05
Albania,ALB,2016,0.04,0.75,21.52,1.65,3.75,1.05,27.98,40.32,40.32,78.6433,,,2876101.0,7.482351975817261e-06,5.736933438707472e-07,1.3038485087971528e-06,3.6507758246320283e-07,9.728448340305156e-06,1.4018979166586988e-05,1.4018979166586988e-05
Albania,ALB,2017,0.04,0.72,20.69,1.62,3.7,1.03,27.04,39.0,39.0,78.9003,,,2873457.0,7.200386155073836e-06,5.637808395949548e-07,1.287647596605761e-06,3.5845324986592805e-07,9.41026784114048e-06,1.3572501693952615e-05,1.3572501693952615e-05
Albania,ALB,2018,0.03,0.69,19.99,1.58,3.63,0.99,26.2,37.89,37.89,79.2377,23.0,,2866376.0,6.973962941358705e-06,5.512186817081919e-07,1.2664074775954027e-06,3.453838575260189e-07,9.140461684021914e-06,1.3218782183495816e-05,1.3218782183495816e-05
Albania,ALB,2019,0.03,0.66,18.86,1.52,3.56,0.93,24.88,36.37,36.37,79.4669,23.0,5.10935,2854191.0,6.607826876337288e-06,5.325502042435142e-07,1.2472886362545465e-06,3.2583663812267646e-07,8.717005974722785e-06,1.274266508443198e-05,1.274266508443198e-05
Albania,ALB,2020,0.02,0.56,15.92,1.3,3.06,0.71,20.98,31.14,31.13,77.8241,22.4,,2837849.0,5.6098826963661564e-06,4.5809343626105547e-07,1.0782814730452537e-06,2.501894921118072e-07,7.392923302120726e-06,1.0973099696284051e-05,1.0969575900620504e-05
Albania,ALB,2021,0.02,0.44,12.67,1.01,2.42,0.62,16.73,25.09,25.09,76.8442,,,2811666.0,4.506225134848876e-06,3.5921763111265707e-07,8.606996705867624e-07,2.2050983296024492e-07,5.950208879717577e-06,8.923535014471847e-06,8.923535014471847e-06
Albania,ALB,2022,,,,,,,,,,78.7688,,,2777689.0,,,,,,,
Albania,ALB,2023,,,,,,,,,,79.6019,,,2745972.0,,,,,,,
Andorra,AND,1960,,,,,,,,,,72.0941,,,9510.0,,,,,,,
