Entity,Day,"Cumulative excess deaths per 100,000 people (central estimate)","Cumulative excess deaths per 100,000 people (95% CI, lower bound)","Cumulative excess deaths per 100,000 people (95% CI, upper bound)","Total confirmed deaths due to COVID-19 per 100,000 people"
Afghanistan,2024-02-15,,,,19.672812
Africa,2024-02-15,,,,17.913593
Albania,2024-02-15,,,,127.49261
Algeria,2024-02-15,,,,15.130595
American Samoa,2024-02-15,,,,70.29877
Andorra,2024-02-15,,,,199.44307
Angola,2024-02-15,,,,5.4356627
Anguilla,2024-02-15,,,,84.49514
Antigua and Barbuda,2024-02-15,,,,157.24117
Argentina,2024-02-15,,,,287.60632
Armenia,2024-02-15,,,,304.6288
Aruba,2024-02-15,,,,270.8921
Asia,2024-02-15,,,,34.710274
Asia excl. China,2024-02-15,,,,46.0409
Australia,2024-02-15,,,,94.81704
Austria,2024-02-15,,,,248.59126
Azerbaijan,2024-02-15,,,,100.56038
Bahamas,2024-02-15,,,,213.30972
Bahrain,2024-02-15,,,,100.1657
Bangladesh,2024-02-15,,,,17.406511
Barbados,2024-02-15,,,,210.04236
Belarus,2024-02-15,,,,77.59526
Belgium,2024-02-15,,,,294.96265
Belize,2024-02-15,,,,170.82939
Benin,2024-02-15,,,,1.1846355
Bermuda,2024-02-15,,,,254.7397
Bhutan,2024-02-15,,,,2.6891358
Bolivia,2024-02-15,,,,185.3665
Bonaire Sint Eustatius and Saba,2024-02-15,,,,143.08649
Bosnia and Herzegovina,2024-02-15,,,,511.29477
Botswana,2024-02-15,,,,114.800026
Brazil,2024-02-15,,,,333.85382
British Virgin Islands,2024-02-15,,,,166.91008
Brunei,2024-02-15,,,,39.08875
Bulgaria,2024-02-15,,,,566.81476
Burkina Faso,2024-02-15,,,,1.7770641
Burundi,2024-02-15,,,,0.11260331
Cambodia,2024-02-15,,,,17.765669
Cameroon,2024-02-15,,,,7.143692
Canada,2024-02-15,,,,141.2731
Cape Verde,2024-02-15,,,,80.23088
Cayman Islands,2024-02-15,,,,51.669483
Central African Republic,2024-02-15,,,,2.216539
Chad,2024-02-15,,,,1.0511875
Chile,2024-02-15,,,,319.12186
China,2024-02-15,,,,8.557238
Colombia,2024-02-15,,,,275.86523
Comoros,2024-02-15,,,,19.180237
Congo,2024-02-15,,,,6.445619
Cook Islands,2024-02-15,,,,13.56208
Costa Rica,2024-02-15,,,,184.3454
Cote d'Ivoire,2024-02-15,,,,2.747162
Croatia,2024-02-15,,,,479.85287
Cuba,2024-02-15,,,,77.12602
Curacao,2024-02-15,,,,164.55266
Cyprus,2024-02-15,,,,152.91756
Czechia,2024-02-15,,,,407.46857
Democratic Republic of Congo,2024-02-15,,,,1.4336361
Denmark,2024-02-15,,,,163.15715
Djibouti,2024-02-15,,,,16.62123
Dominica,2024-02-15,,,,110.69559
Dominican Republic,2024-02-15,,,,39.03574
East Timor,2024-02-15,,,,10.07815
Ecuador,2024-02-15,,,,202.21725
Egypt,2024-02-15,,,,22.047935
El Salvador,2024-02-15,,,,67.3533
Equatorial Guinea,2024-02-15,,,,10.146655
Eritrea,2024-02-15,,,,3.0210133
Estonia,2024-02-15,,,,221.76266
Eswatini,2024-02-15,,,,117.070755
Ethiopia,2024-02-15,,,,6.0406294
Europe,2024-02-15,,,,280.65256
European Union (27),2024-02-15,,,,280.94247
Falkland Islands,2024-02-15,,,,0.0
Faroe Islands,2024-02-15,,,,51.81443
Fiji,2024-02-15,,,,96.2555
Finland,2024-02-15,,,,205.8787
France,2024-02-15,,,,261.5009
French Guiana,2024-02-15,,,,138.4424
French Polynesia,2024-02-15,,,,231.82079
Gabon,2024-02-15,,,,12.629836
Gambia,2024-02-15,,,,14.109759
Georgia,2024-02-15,,,,451.93625
Germany,2024-02-15,,,,208.09473
Ghana,2024-02-15,,,,4.4103694
Gibraltar,2024-02-15,,,,300.28433
Greece,2024-02-15,,,,373.73416
Greenland,2024-02-15,,,,37.490627
Grenada,2024-02-15,,,,203.54407
Guadeloupe,2024-02-15,,,,265.39954
Guam,2024-02-15,,,,253.64272
Guatemala,2024-02-15,,,,113.18433
Guernsey,2024-02-15,,,,105.10133
Guinea,2024-02-15,,,,3.3297434
Guinea-Bissau,2024-02-15,,,,8.406406
Guyana,2024-02-15,,,,158.22092
Haiti,2024-02-15,,,,7.475918
High-income countries,2024-02-15,,,,244.11375
Honduras,2024-02-15,,,,106.21298
Hungary,2024-02-15,,,,506.44827
Iceland,2024-02-15,,,,48.900013
India,2024-02-15,,,,37.425236
Indonesia,2024-02-15,,,,58.11774
Iran,2024-02-15,,,,163.97792
Iraq,2024-02-15,,,,57.578125
Ireland,2024-02-15,,,,187.39679
Isle of Man,2024-02-15,,,,137.8589
Israel,2024-02-15,,,,139.58914
Italy,2024-02-15,,,,330.15424
Jamaica,2024-02-15,,,,126.79847
Japan,2024-02-15,,,,59.756355
Jersey,2024-02-15,,,,155.56607
Jordan,2024-02-15,,,,125.45899
Kazakhstan,2024-02-15,,,,95.19525
Kenya,2024-02-15,,,,10.486161
Kiribati,2024-02-15,,,,18.393482
Kosovo,2024-02-15,,,,186.96703
Kuwait,2024-02-15,,,,55.997215
Kyrgyzstan,2024-02-15,,,,14.721544
Laos,2024-02-15,,,,8.876827
Latvia,2024-02-15,,,,396.85114
Lebanon,2024-02-15,,,,190.5651
Lesotho,2024-02-15,,,,31.013353
Liberia,2024-02-15,,,,5.471502
Libya,2024-02-15,,,,89.10818
Liechtenstein,2024-02-15,,,,223.71365
Lithuania,2024-02-15,,,,347.79095
Low-income countries,2024-02-15,,,,6.068918
Lower-middle-income countries,2024-02-15,,,,36.931206
Luxembourg,2024-02-15,,,,153.06529
Madagascar,2024-02-15,,,,4.6850467
Malawi,2024-02-15,,,,13.058657
Malaysia,2024-02-15,,,,107.64222
Maldives,2024-02-15,,,,60.291996
Mali,2024-02-15,,,,3.2202644
Malta,2024-02-15,,,,183.45532
Marshall Islands,2024-02-15,,,,42.40036
Martinique,2024-02-15,,,,315.91507
Mauritania,2024-02-15,,,,20.448576
Mauritius,2024-02-15,,,,83.84699
Mayotte,2024-02-15,,,,61.255642
Mexico,2024-02-15,,,,259.8833
Micronesia (country),2024-02-15,,,,57.97153
Moldova,2024-02-15,,,,401.8438
Monaco,2024-02-15,,,,172.01982
Mongolia,2024-02-15,,,,63.083004
Montenegro,2024-02-15,,,,431.79044
Montserrat,2024-02-15,,,,178.731
Morocco,2024-02-15,,,,43.67106
Mozambique,2024-02-15,,,,6.8960786
Myanmar,2024-02-15,,,,36.263325
Namibia,2024-02-15,,,,141.98863
Nauru,2024-02-15,,,,8.459521
Nepal,2024-02-15,,,,40.487377
Netherlands,2024-02-15,,,,128.3817
New Caledonia,2024-02-15,,,,109.35775
New Zealand,2024-02-15,,,,74.10752
Nicaragua,2024-02-15,,,,3.6400585
Niger,2024-02-15,,,,1.2444701
Nigeria,2024-02-15,,,,1.4138415
Niue,2024-02-15,,,,0.0
North America,2024-02-15,,,,274.01834
North Korea,2024-02-15,,,,0.0
North Macedonia,2024-02-15,,,,542.05005
Northern Mariana Islands,2024-02-15,,,,88.935165
Norway,2024-02-15,,,,105.04334
Oceania,2024-02-15,,,,71.12585
Oman,2024-02-15,,,,97.83886
Pakistan,2024-02-15,,,,12.579367
Palau,2024-02-15,,,,50.60729
Palestine,2024-02-15,,,,107.59105
Panama,2024-02-15,,,,197.66986
Papua New Guinea,2024-02-15,,,,6.5665827
Paraguay,2024-02-15,,,,294.06277
Peru,2024-02-15,,,,659.91376
Philippines,2024-02-15,,,,58.670982
Pitcairn,2024-02-15,,,,0.0
Poland,2024-02-15,,,,314.34854
Portugal,2024-02-15,,,,269.84543
Puerto Rico,2024-02-15,,,,183.21669
Qatar,2024-02-15,,,,23.855085
Reunion,2024-02-15,,,,105.67477
Romania,2024-02-15,,,,358.85535
Russia,2024-02-15,,,,276.20367
Rwanda,2024-02-15,,,,10.753771
Saint Barthelemy,2024-02-15,,,,45.67044
Saint Helena,2024-02-15,,,,0.0
Saint Kitts and Nevis,2024-02-15,,,,98.43573
Saint Lucia,2024-02-15,,,,229.31418
Saint Martin (French part),2024-02-15,,,,159.18057
Saint Pierre and Miquelon,2024-02-15,,,,34.72222
Saint Vincent and the Grenadines,2024-02-15,,,,121.49478
Samoa,2024-02-15,,,,14.400587
San Marino,2024-02-15,,,,369.36066
Sao Tome and Principe,2024-02-15,,,,35.349274
Saudi Arabia,2024-02-15,,,,29.97947
Senegal,2024-02-15,,,,11.166444
Serbia,2024-02-15,,,,265.8875
Seychelles,2024-02-15,,,,137.01686
Sierra Leone,2024-02-15,,,,1.510244
Singapore,2024-02-15,,,,35.82373
Sint Maarten (Dutch part),2024-02-15,,,,218.20079
Slovakia,2024-02-15,,,,387.78088
Slovenia,2024-02-15,,,,466.00134
Solomon Islands,2024-02-15,,,,25.477707
Somalia,2024-02-15,,,,7.645254
South Africa,2024-02-15,,,,164.47194
South America,2024-02-15,,,,314.44962
South Korea,2024-02-15,,,,69.39408
South Sudan,2024-02-15,,,,1.333796
Spain,2024-02-15,,,,254.76921
Sri Lanka,2024-02-15,,,,73.99618
Sudan,2024-02-15,,,,10.21802
Suriname,2024-02-15,,,,225.45906
Sweden,2024-02-15,,,,259.16028
Switzerland,2024-02-15,,,,161.16594
Syria,2024-02-15,,,,14.081453
Tajikistan,2024-02-15,,,,1.2276291
Tanzania,2024-02-15,,,,1.3073345
Thailand,2024-02-15,,,,48.177105
Togo,2024-02-15,,,,3.1904097
Tokelau,2024-02-15,,,,0.0
Tonga,2024-02-15,,,,11.422806
Trinidad and Tobago,2024-02-15,,,,293.4645
Tunisia,2024-02-15,,,,242.77733
Turkey,2024-02-15,,,,116.49527
Turkmenistan,2024-02-15,,,,0.0
Turks and Caicos Islands,2024-02-15,,,,87.204865
Tuvalu,2024-02-15,,,,9.988014
Uganda,2024-02-15,,,,7.676583
Ukraine,2024-02-15,,,,267.77417
United Arab Emirates,2024-02-15,,,,22.934784
United Kingdom,2024-02-15,,,,340.44342
United States,2024-02-15,,,,345.16208
United States Virgin Islands,2024-02-15,,,,152.56412
Upper-middle-income countries,2024-02-15,,,,99.61398
Uruguay,2024-02-15,,,,225.69142
Uzbekistan,2024-02-15,,,,2.907929
Vanuatu,2024-02-15,,,,4.4719577
Vatican,2024-02-15,,,,0.0
Venezuela,2024-02-15,,,,20.756376
Vietnam,2024-02-15,,,,43.344418
Wallis and Futuna,2024-02-15,,,,69.559166
World,2024-02-15,,,,88.07733
World excl. China,2024-02-15,,,,105.34362
World excl. China and South Korea,2024-02-15,,,,105.62949
"World excl. China, South Korea, Japan and Singapore",2024-02-15,,,,106.589874
Yemen,2024-02-15,,,,5.6484494
Zambia,2024-02-15,,,,20.190609
Zimbabwe,2024-02-15,,,,35.70215
