geo,Country,Year,Income_per_Person,Total_GDP,GDP_per_Capita_Growth_(%),Total,Life_expectancy,Population
alb,Albania,1960,2803.8669844,4624661754.099999,1.05551,female,57.78,798472.0
alb,Albania,1960,2803.8669844,4624661754.099999,1.05551,male,51.365,810328.0
alb,Albania,1960,2803.8669844,4624661754.099999,1.05551,total,54.439,1608800.0
alb,Albania,1961,2839.33808117,4823441978.12,1.01265,female,58.9,823469.0
alb,Albania,1961,2839.33808117,4823441978.12,1.01265,male,52.618,836331.0
alb,Albania,1961,2839.33808117,4823441978.12,1.01265,total,55.634,1659800.0
alb,Albania,1962,2945.99596765,5137030387.52,1.03756,female,59.75,848431.0
alb,Albania,1962,2945.99596765,5137030387.52,1.03756,male,53.82,862888.0
alb,Albania,1962,2945.99596765,5137030387.52,1.03756,total,56.671,1711319.0
alb,Albania,1963,3059.67897825,5480757058.73,1.03859,female,60.831,873289.0
alb,Albania,1963,3059.67897825,5480757058.73,1.03859,male,55.071,889332.0
alb,Albania,1963,3059.67897825,5480757058.73,1.03859,total,57.844,1762621.0
alb,Albania,1964,3178.00649823,5852111463.94,1.03867,female,61.851,898281.0
alb,Albania,1964,3178.00649823,5852111463.94,1.03867,male,56.313,915854.0
alb,Albania,1964,3178.00649823,5852111463.94,1.03867,total,58.983,1814135.0
alb,Albania,1965,3308.46824485,6267271097.28,1.04105,female,62.866,922894.0
alb,Albania,1965,3308.46824485,6267271097.28,1.04105,male,57.358,941897.0
alb,Albania,1965,3308.46824485,6267271097.28,1.04105,total,60.019,1864791.0
alb,Albania,1966,3447.48404802,6722745582.53,1.04202,female,63.846,947139.0
alb,Albania,1966,3447.48404802,6722745582.53,1.04202,male,58.328,967434.0
alb,Albania,1966,3447.48404802,6722745582.53,1.04202,total,60.998,1914573.0
alb,Albania,1967,3595.15951843,7220953391.59,1.04284,female,64.698,972115.0
alb,Albania,1967,3595.15951843,7220953391.59,1.04284,male,59.409,993483.0
alb,Albania,1967,3595.15951843,7220953391.59,1.04284,total,61.972,1965598.0
alb,Albania,1968,3740.30117327,7738088418.769999,1.04037,female,65.645,1000108.0
alb,Albania,1968,3740.30117327,7738088418.769999,1.04037,male,60.401,1022164.0
alb,Albania,1968,3740.30117327,7738088418.769999,1.04037,total,62.946,2022272.0
alb,Albania,1969,3884.12836074,8261055505.96,1.03845,female,66.561,1029368.0
alb,Albania,1969,3884.12836074,8261055505.96,1.03845,male,61.426,1052327.0
alb,Albania,1969,3884.12836074,8261055505.96,1.03845,total,63.923,2081695.0
alb,Albania,1970,4045.61504908,8824376456.52,1.04158,female,67.371,1055496.0
alb,Albania,1970,4045.61504908,8824376456.52,1.04158,male,62.407,1079983.0
alb,Albania,1970,4045.61504908,8824376456.52,1.04158,total,64.824,2135479.0
alb,Albania,1971,4182.09649639,9346952213.7,1.03374,female,68.136,1080819.0
alb,Albania,1971,4182.09649639,9346952213.7,1.03374,male,63.222,1107034.0
alb,Albania,1971,4182.09649639,9346952213.7,1.03374,total,65.618,2187853.0
alb,Albania,1972,4318.43989621,9886053308.95,1.0326,female,68.913,1107585.0
alb,Albania,1972,4318.43989621,9886053308.95,1.0326,male,64.037,1135541.0
alb,Albania,1972,4318.43989621,9886053308.95,1.0326,total,66.422,2243126.0
alb,Albania,1973,4482.18728983,10506717636.99,1.03792,female,69.504,1133580.0
alb,Albania,1973,4482.18728983,10506717636.99,1.03792,male,64.866,1163172.0
alb,Albania,1973,4482.18728983,10506717636.99,1.03792,total,67.14,2296752.0
alb,Albania,1974,4541.88002089,10897791464.17,1.01332,female,70.074,1159499.0
alb,Albania,1974,4541.88002089,10897791464.17,1.01332,male,65.55,1190625.0
alb,Albania,1974,4541.88002089,10897791464.17,1.01332,total,67.769,2350124.0
alb,Albania,1975,4605.3783772,11305554557.48,1.01398,female,70.614,1186137.0
alb,Albania,1975,4605.3783772,11305554557.48,1.01398,male,66.121,1218694.0
alb,Albania,1975,4605.3783772,11305554557.48,1.01398,total,68.328,2404831.0
alb,Albania,1976,4674.3839153,11735414770.71,1.01498,female,70.948,1212334.0
alb,Albania,1976,4674.3839153,11735414770.71,1.01498,male,66.537,1246192.0
alb,Albania,1976,4674.3839153,11735414770.71,1.01498,total,68.704,2458526.0
alb,Albania,1977,4742.05981717,12170965985.58,1.01448,female,71.352,1239223.0
alb,Albania,1977,4742.05981717,12170965985.58,1.01448,male,66.964,1274323.0
alb,Albania,1977,4742.05981717,12170965985.58,1.01448,total,69.121,2513546.0
alb,Albania,1978,4824.278631249999,12661903006.38,1.01734,female,71.578,1265110.0
alb,Albania,1978,4824.278631249999,12661903006.38,1.01734,male,67.117,1301156.0
alb,Albania,1978,4824.278631249999,12661903006.38,1.01734,total,69.309,2566266.0
alb,Albania,1979,4904.8989833,13151922561.41,1.01671,female,71.861,1290809.0
alb,Albania,1979,4904.8989833,13151922561.41,1.01671,male,67.384,1327023.0
alb,Albania,1979,4904.8989833,13151922561.41,1.01671,total,69.584,2617832.0
alb,Albania,1980,4972.0778368,13600701268.58,1.0137,female,72.986,1318030.0
alb,Albania,1980,4972.0778368,13600701268.58,1.0137,male,68.048,1353967.0
alb,Albania,1980,4972.0778368,13600701268.58,1.0137,total,70.478,2671997.0
alb,Albania,1981,5110.97435907,14261729293.85,1.02794,female,73.352,1345238.0
alb,Albania,1981,5110.97435907,14261729293.85,1.02794,male,68.194,1380818.0
alb,Albania,1981,5110.97435907,14261729293.85,1.02794,total,70.73,2726056.0
alb,Albania,1982,5170.71742246,14720551623.52,1.01169,female,73.79,1374683.0
alb,Albania,1982,5170.71742246,14720551623.52,1.01169,male,68.354,1409595.0
alb,Albania,1982,5170.71742246,14720551623.52,1.01169,total,71.023,2784278.0
alb,Albania,1983,5175.25643464,15034792726.52,1.00088,female,74.147,1405044.0
alb,Albania,1983,5175.25643464,15034792726.52,1.00088,male,68.551,1438916.0
alb,Albania,1983,5175.25643464,15034792726.52,1.00088,total,71.296,2843960.0
alb,Albania,1984,5206.3292672,15436547612.67,1.006,female,74.41,1435975.0
alb,Albania,1984,5206.3292672,15436547612.67,1.006,male,68.705,1468454.0
alb,Albania,1984,5206.3292672,15436547612.67,1.006,total,71.502,2904429.0
alb,Albania,1985,5121.395966319999,15498583572.73,0.98369,female,74.589,1467026.0
alb,Albania,1985,5121.395966319999,15498583572.73,0.98369,male,68.84,1497736.0
alb,Albania,1985,5121.395966319999,15498583572.73,0.98369,total,71.656,2964762.0
alb,Albania,1986,5273.53757863,16282848850.58,1.02971,female,74.9,1496984.0
alb,Albania,1986,5273.53757863,16282848850.58,1.02971,male,69.12,1525651.0
alb,Albania,1986,5273.53757863,16282848850.58,1.02971,total,71.95,3022635.0
alb,Albania,1987,5208.975465029999,16402219884.92,0.98776,female,75.356,1528470.0
alb,Albania,1987,5208.975465029999,16402219884.92,0.98776,male,69.476,1555135.0
alb,Albania,1987,5208.975465029999,16402219884.92,0.98776,total,72.352,3083605.0
alb,Albania,1988,5123.47692575,16461316359.89,0.98359,female,75.796,1558860.0
alb,Albania,1988,5123.47692575,16461316359.89,0.98359,male,69.643,1583476.0
alb,Albania,1988,5123.47692575,16461316359.89,0.98359,total,72.641,3142336.0
alb,Albania,1989,5397.8172552900005,17598903035.82,1.05355,female,76.076,1603351.0
alb,Albania,1989,5397.8172552900005,17598903035.82,1.05355,male,69.853,1624592.0
alb,Albania,1989,5397.8172552900005,17598903035.82,1.05355,total,72.88,3227943.0
alb,Albania,1990,4976.14795874,16311643818.56,0.92188,female,76.433,1635564.0
alb,Albania,1990,4976.14795874,16311643818.56,0.92188,male,70.05,1650978.0
alb,Albania,1990,4976.14795874,16311643818.56,0.92188,total,73.144,3286542.0
alb,Albania,1991,3632.12934959,11922835068.65,0.72991,female,76.631,1629264.0
alb,Albania,1991,3632.12934959,11922835068.65,0.72991,male,70.321,1637526.0
alb,Albania,1991,3632.12934959,11922835068.65,0.72991,total,73.378,3266790.0
alb,Albania,1992,3428.44215844,11253864812.39,0.94392,female,76.972,1623163.0
alb,Albania,1992,3428.44215844,11253864812.39,0.94392,male,70.66,1623876.0
alb,Albania,1992,3428.44215844,11253864812.39,0.94392,total,73.715,3247039.0
alb,Albania,1993,3786.45452405,12411335300.07,1.10442,female,77.118,1617311.0
alb,Albania,1993,3786.45452405,12411335300.07,1.10442,male,70.957,1609976.0
alb,Albania,1993,3786.45452405,12411335300.07,1.10442,total,73.939,3227287.0
alb,Albania,1994,4127.50781124,13494515311.35,1.09007,female,77.258,1611664.0
alb,Albania,1994,4127.50781124,13494515311.35,1.09007,male,71.202,1595872.0
alb,Albania,1994,4127.50781124,13494515311.35,1.09007,total,74.131,3207536.0
alb,Albania,1995,4658.27831757,15179312001.23,1.12859,female,77.511,1606197.0
alb,Albania,1995,4658.27831757,15179312001.23,1.12859,male,71.428,1581587.0
alb,Albania,1995,4658.27831757,15179312001.23,1.12859,total,74.362,3187784.0
alb,Albania,1996,5111.11916455,16589047027.86,1.09721,female,77.746,1600894.0
alb,Albania,1996,5111.11916455,16589047027.86,1.09721,male,71.669,1567139.0
alb,Albania,1996,5111.11916455,16589047027.86,1.09721,total,74.592,3168033.0
alb,Albania,1997,4586.99866491,14814446109.35,0.89745,female,77.316,1595783.0
alb,Albania,1997,4586.99866491,14814446109.35,0.89745,male,70.773,1552498.0
alb,Albania,1997,4586.99866491,14814446109.35,0.89745,total,73.904,3148281.0
alb,Albania,1998,5039.78793796,16178389573.86,1.09871,female,78.021,1590813.0
alb,Albania,1998,5039.78793796,16178389573.86,1.09871,male,72.19,1537717.0
alb,Albania,1998,5039.78793796,16178389573.86,1.09871,total,74.99,3128530.0
alb,Albania,1999,5747.82593168,18327489027.45,1.14049,female,78.209,1585827.0
alb,Albania,1999,5747.82593168,18327489027.45,1.14049,male,72.401,1522951.0
alb,Albania,1999,5747.82593168,18327489027.45,1.14049,total,75.183,3108778.0
alb,Albania,2000,6209.69934591,19660827164.48,1.08036,female,78.419,1580903.0
alb,Albania,2000,6209.69934591,19660827164.48,1.08036,male,72.646,1508124.0
alb,Albania,2000,6209.69934591,19660827164.48,1.08036,total,75.404,3089027.0
alb,Albania,2001,6810.23056347,21438217630.33,1.09671,female,78.618,1568260.0
alb,Albania,2001,6810.23056347,21438217630.33,1.09671,male,72.921,1491913.0
alb,Albania,2001,6810.23056347,21438217630.33,1.09671,total,75.639,3060173.0
alb,Albania,2002,7167.76815191,22464444822.99,1.0525,female,78.823,1561561.0
alb,Albania,2002,7167.76815191,22464444822.99,1.0525,male,73.22,1489449.0
alb,Albania,2002,7167.76815191,22464444822.99,1.0525,total,75.89,3051010.0
alb,Albania,2003,7617.7574346,23752838044.94,1.06278,female,79.057,1552793.0
alb,Albania,2003,7617.7574346,23752838044.94,1.06278,male,73.499,1486823.0
alb,Albania,2003,7617.7574346,23752838044.94,1.06278,total,76.142,3039616.0
alb,Albania,2004,8094.82291705,25083079695.59,1.06263,female,79.237,1543523.0
alb,Albania,2004,8094.82291705,25083079695.59,1.06263,male,73.786,1483416.0
alb,Albania,2004,8094.82291705,25083079695.59,1.06263,total,76.376,3026939.0
alb,Albania,2005,8607.441082000001,26477857351.32,1.06333,female,79.493,1533025.0
alb,Albania,2005,8607.441082000001,26477857351.32,1.06333,male,74.033,1478462.0
alb,Albania,2005,8607.441082000001,26477857351.32,1.06333,total,76.621,3011487.0
alb,Albania,2006,9193.25560021,28046866924.06,1.06806,female,79.686,1520970.0
alb,Albania,2006,9193.25560021,28046866924.06,1.06806,male,74.243,1471577.0
alb,Albania,2006,9193.25560021,28046866924.06,1.06806,total,76.816,2992547.0
alb,Albania,2007,9836.1108171,29733451521.82,1.06993,female,80.247,1507288.0
alb,Albania,2007,9836.1108171,29733451521.82,1.06993,male,75.1,1462729.0
alb,Albania,2007,9836.1108171,29733451521.82,1.06993,total,77.549,2970017.0
alb,Albania,2008,10674.2261154,31947211568.26,1.08521,female,80.429,1493648.0
alb,Albania,2008,10674.2261154,31947211568.26,1.08521,male,75.163,1453666.0
alb,Albania,2008,10674.2261154,31947211568.26,1.08521,total,77.653,2947314.0
alb,Albania,2009,11126.4222674,32950665880.8,1.04236,female,80.544,1481568.0
alb,Albania,2009,11126.4222674,32950665880.8,1.04236,male,75.316,1445951.0
alb,Albania,2009,11126.4222674,32950665880.8,1.04236,total,77.781,2927519.0
alb,Albania,2010,11617.0318259,34023056676.17,1.04409,female,80.688,1472265.0
alb,Albania,2010,11617.0318259,34023056676.17,1.04409,male,75.493,1440756.0
alb,Albania,2010,11617.0318259,34023056676.17,1.04409,total,77.936,2913021.0
alb,Albania,2011,11944.8229268,34777399726.73,1.02822,female,80.798,1467424.0
alb,Albania,2011,11944.8229268,34777399726.73,1.02822,male,75.693,1437771.0
alb,Albania,2011,11944.8229268,34777399726.73,1.02822,total,78.092,2905195.0
alb,Albania,2012,12134.1331805,35310376080.96,1.01585,female,80.703,1465129.0
alb,Albania,2012,12134.1331805,35310376080.96,1.01585,male,75.73,1435272.0
alb,Albania,2012,12134.1331805,35310376080.96,1.01585,total,78.064,2900401.0
alb,Albania,2013,12278.1937781,35699744706.34,1.01187,female,80.781,1462516.0
alb,Albania,2013,12278.1937781,35699744706.34,1.01187,male,75.786,1432576.0
alb,Albania,2013,12278.1937781,35699744706.34,1.01187,total,78.123,2895092.0
alb,Albania,2014,12521.963576,36360639197.53,1.01985,female,81.013,1459483.0
alb,Albania,2014,12521.963576,36360639197.53,1.01985,male,76.114,1429621.0
alb,Albania,2014,12521.963576,36360639197.53,1.01985,total,78.407,2889104.0
alb,Albania,2015,12837.1197382,37210086061.05,1.02517,female,81.183,1455176.0
alb,Albania,2015,12837.1197382,37210086061.05,1.02517,male,76.404,1425527.0
alb,Albania,2015,12837.1197382,37210086061.05,1.02517,total,78.644,2880703.0
alb,Albania,2016,13283.8891476,38494943987.05,1.0348,female,81.377,1452738.0
alb,Albania,2016,13283.8891476,38494943987.05,1.0348,male,76.639,1423363.0
alb,Albania,2016,13283.8891476,38494943987.05,1.0348,total,78.86,2876101.0
alb,Albania,2017,13801.710057899998,40000695761.54,1.03898,female,81.504,1451282.0
alb,Albania,2017,13801.710057899998,40000695761.54,1.03898,male,76.873,1422175.0
