Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2004,8094.82291705,25083079695.59,76.376,3026939.0,133.9700012204,405519021.5240764
Andorra,2004,58263.7398058,4330452460.599999,,74325.0,1930.372584227,143474942.32267177
Austria,2004,54164.4296152,442712850000.0,79.1804878048781,8171966.0,3487.15,28496871236.9
Belarus,2004,14454.005696,140711110000.0,68.9560975609756,9730146.0,132.89,1293039101.9399998
Belgium,2004,51329.8761861,534923960000.0,78.8780487804878,10421137.0,3213.3589746118,33486854104.60909
Bosnia and Herzegovina,2004,9144.86601531,37868771286.06,76.133,4140987.0,215.34,891720140.58
Bulgaria,2004,15640.5899538,121205380000.0,72.5634146341463,7716860.0,226.01,1744087528.6
Croatia,2004,25018.063557,107829080000.0,75.520243902439,4304600.0,615.9499999999999,2651418369.9999995
Cyprus,2004,38407.8428613,39094383048.63,77.944,1017875.0,1248.39,1270704971.2499998
Czechia,2004,31884.8865288,327184880000.0,75.7219512195122,10197101.0,723.9390509061999,7382079619.934662
Denmark,2004,56963.8324171,307866360000.0,77.4926829268293,5404523.0,4069.15,21991814765.45
Estonia,2004,26395.260536,35968188047.95,71.909756097561,1362550.0,460.2727261373,627144602.9983782
Finland,2004,49410.5389612,258325550000.0,78.7146341463415,5228172.0,2952.68,15437118900.96
France,2004,47103.0336838,2881540200000.0,80.1634146341463,62707588.0,3354.8686181677,210375719102.18945
Germany,2004,48156.2571133,3953273800000.0,78.6804878048781,82516260.0,3356.0302026349,276927060768.4741
Greece,2004,36517.2672131,399768040000.0,79.0390243902439,10955141.0,1729.2150451645,18943794639.098465
Hungary,2004,25355.968877,255734680000.0,72.6487804878049,10107146.0,774.06,7823537432.759999
Iceland,2004,50528.5598069,14762828260.66,80.9975609756098,292074.0,4278.67,1249688261.58
Ireland,2004,58163.467084,236496670000.0,78.5390243902439,4070262.0,3378.6658251941,13752055118.986189
Italy,2004,49024.247655,2852071600000.0,80.7804878048781,57685327.0,2489.02,143579932609.54
Latvia,2004,20052.0743229,45401385336.21,72.0268292682927,2263122.0,381.21,862724737.62
Lithuania,2004,21436.001094,72382923444.17,71.9609756097561,3377075.0,355.99,1202204929.25
Luxembourg,2004,114135.629769,52307902582.05,79.1219512195122,458095.0,5441.7,2492815561.5
North Macedonia,2004,12146.7110153,25345096424.42,73.5975609756098,2016186.0,225.04,453722497.44
Moldova,2004,7007.42332817,28356722751.15,67.861,2896023.0,63.05,182594250.15
Monaco,2004,154728.089083,4998800373.59,,32307.0,5513.1882421875,178114572.54035157
Netherlands,2004,54541.6058799,895876480000.0,79.0951219512195,16281779.0,3578.33,58261578249.07
Norway,2004,79432.3724472,364732610000.0,79.8414634146342,4591910.0,4944.09,22702816311.9
Poland,2004,20073.4388057,766154500000.0,74.8463414634146,38182222.0,380.24,14518408093.28
Portugal,2004,33807.4981827,354349730000.0,77.6707317073171,10483861.0,1672.28,17531951073.079998
Romania,2004,18275.2871243,391149590000.0,71.5609756097561,21451748.0,185.27,3974365351.96
Russian Federation,2004,24456.8843257,3550655900000.0,65.4709756097561,144067316.0,202.73,29206766972.68
San Marino,2004,83940.03839819999,2367360902.5,,29457.0,2782.3104882861,81958520.05344364
Serbia,2004,12461.9544193,94285165712.05,72.6829268292683,7463157.0,266.2216626019,1986854064.799008
Slovakia,2004,20977.9882788,112778020000.0,73.9585365853659,5372280.0,496.64,2668089139.2
Slovenia,2004,33126.3313482,66038832229.8,77.2073170731707,1997012.0,1327.93,2651892145.1600003
Spain,2004,40403.3038723,1746814800000.0,79.8707317073171,42921895.0,1866.5427477994,80115551834.05733
Sweden,2004,49588.9709753,445993390000.0,80.4975609756098,8993531.0,3383.36,30428353044.16
Switzerland,2004,65444.7376587,483256910000.0,81.0878048780488,7389625.0,5440.44203125,40202826445.17578
Ukraine,2004,14114.6286823,677213260000.0,68.1853658536585,47979507.0,82.45,3955910352.15
United Kingdom,2004,46295.63523,2785607200000.0,78.7463414634146,59987905.0,3265.3513061481,195881583944.83813
