Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0158056078521,38.0242798098701,35.1901499221294,50.5922008273309,62.2765785334895,69.2160806104435,75.8141945067967,84.9799652344641,87.362132081414,90.9504268405484,105.191866417424,113.406270985364,110.305914160353,108.350669169033,101.88815808825,93.8898327004434,88.8353082820384,93.1064575456337,93.2222923677116,90.3342807503933,81.9691930737894,93.0536266209334,,,
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00758553,17.81492424,21.42946434,25.10707283,28.91982269,32.71720505,39.96989822,43.26076889,46.57987976,52.36304855,52.61354065,56.30554199,60.18957901,60.05854034,61.48645782,66.90921783,71.33430481,74.23410797,80.28805542,81.31976318,,,
Africa Western and Central,AFW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9898403369709,20.6534863757904,21.8276819469214,33.6095234595987,38.0807769017464,43.5647138508344,50.1140150456023,54.1063076232541,62.3515669640934,56.8649659321893,60.4478001270682,67.3995089287192,69.9148263571028,77.4089368239215,80.3290887105277,71.938047559797,62.7158163017751,60.8351893781229,59.5610361132247,61.9975883548517,64.7982545177216,73.1202246878165,,,
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00008678,28.92523384,29.05480003,34.8696785,49.77629852,54.21235657,69.76922607,92.84111786,135.63153076,120.0315094,96.66415405,121.91368866,121.79575348,142.88616943,130.74234009,107.64356232,94.1061554,112.85147095,83.89920044,64.65779114,55.05102158,64.16342163,,,
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1501236,73.78884125,78.99478149,106.29218292,138.11340332,152.12762451,166.81382751,212.61096191,240.41625977,239.44386292,255.31819153,274.77688599,262.2885437,278.04251099,295.12359619,255.35635376,277.04321289,297.4619751,351.3012085,367.75839233,396.88024902,464.74285889,,,
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.00280762,1336.21142578,1486.171875,1772.71337891,1990.0748291,2214.64697266,2139.27539063,2489.43115234,3046.36206055,3025.30883789,3698.80834961,3913.98706055,3013.51464844,3041.84155273,3089.84301758,2688.20629883,2755.44848633,2873.29614258,3164.38842773,3026.59741211,3269.29736328,3505.99145508,,,
Arab World,ARB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.295413281992,108.828763342112,108.841522457421,105.93090730348,116.839425313649,129.811883669367,147.897456459006,172.929694988527,202.792890563331,215.748853789823,222.658452050925,253.201341992808,276.493120911338,311.285409942651,338.179799224513,325.152012573804,350.672449324801,341.059837500031,352.177055665955,357.352275812775,366.175355877544,384.704842151144,,,
United Arab Emirates,ARE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.07550049,743.05072021,821.34509277,862.90325928,911.39276123,978.90435791,1054.33288574,1126.81237793,1321.93688965,1284.76318359,1325.20324707,1500.80249023,1480.72741699,1601.55285645,1656.2689209,1439.30053711,1599.4029541,1726.24072266,1914.9317627,1990.28479004,2191.81347656,2351.80541992,,,
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.94592285,671.36853027,222.64750671,260.9826355,310.21994019,390.80447388,453.63934326,569.28839111,742.90466309,781.77801514,980.1362915,1202.56396484,1361.99157715,1415.21008301,1280.61486816,1525.05310059,1258.3079834,1494.83605957,1216.10681152,1016.23083496,895.08465576,1044.77270508,,,
Armenia,ARM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,31,58,65,71,94,123,168,260,246,290,325,333,396,409,371,366,419,439,549,552,613,,,
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.13116455,571.1116333,557.902771,612.15380859,596.07177734,639.24017334,662.71893311,711.56207275,691.20733643,606.90460205,720.92443848,713.99853516,749.94378662,735.49279785,822.39221191,784.64538574,812.51092529,785.4710083,849.83349609,801.54382324,875.70098877,923.4072876,,,
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636.52856445,1559.82128906,1763.69567871,2240.74609375,2760.83081055,3014.10473633,3194.03076172,3815.33642578,4107.01269531,4011.93261719,4975.47070313,5909.14990234,6071.65087891,5843.17382813,6130.99853516,5322.97119141,5453.92480469,5813.61376953,5857.28808594,5545.91064453,5958.765625,7055.36816406,,,
