Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2017,79.047,2873457,252.84267883500002,726532565.3971826
Andorra,2017,..,73763,2442.301721193,180151501.86035925
Austria,2017,81.6439024390244,8797566,4198.15,36933501702.899994
Belarus,2017,74.1292682926829,9458989,276.25,2613045711.25
Belgium,2017,81.4926829268293,11375158,4065.2499267609996,46242860226.3948
Bosnia and Herzegovina,2017,76.935,3428682,399.5,1369758459.0
Bulgaria,2017,74.8146341463415,7075947,531.25,3759096843.75
Croatia,2017,77.8268292682927,4041407,767.55,3101981942.85
Cyprus,2017,81.328,1254275,1507.05,1890255138.75
Czechia,2017,78.9780487804878,10594438,1296.5457153314999,13736173195.245224
Denmark,2017,81.1024390243903,5764980,4958.9,28587959321.999996
Estonia,2017,78.0926829268293,1317384,1147.607495114,1511839752.3432617
Finland,2017,81.6317073170732,5508214,3600.6,19832875328.399998
France,2017,82.5756097560976,66918020,3749.0092529265,250876276167.52057
Germany,2017,80.9926829268293,82657002,4309.666430663,356224106778.6445
Greece,2017,81.2878048780488,10754679,1283.316864015,13801660927.767975
Hungary,2017,75.8170731707317,9787966,837.25,8194974533.5
Iceland,2017,82.6609756097561,343400,5053.25,1735286050.0
Ireland,2017,82.1560975609756,4807388,4258.717895510999,20473309306.26483
Italy,2017,82.9463414634147,60536709,2388.5,144591929446.5
Latvia,2017,74.6292682926829,1942248,793.05,1540299776.3999999
Lithuania,2017,75.4804878048781,2828403,920.55,2603686381.65
Luxembourg,2017,82.0951219512195,596336,4856.05,2895837432.8
Moldova,2017,70.516,2755189,207.4,571426198.6
Monaco,2017,..,37678,6136.653027348,231216812.76441795
Montenegro,2017,76.4853658536585,622373,520.1999999999999,323758434.59999996
Netherlands,2017,81.7609756097561,17131296,4194.75,71861503896.0
North Macedonia,2017,75.9536585365854,1898657,293.25,556781165.25
Norway,2017,82.609756097561,5276968,6643.599999999999,35058064604.799995
Poland,2017,77.7536585365854,37974826,773.5,29373527911.0
Portugal,2017,81.4243902439025,10300300,1698.3,17492999490.0
Romania,2017,75.209756097561,19588715,471.75,9240976301.25
Russian Federation,2017,72.4514634146342,145293260,493.0,71629577180.0
San Marino,2017,..,33825,3150.9248901329997,106580034.40874872
Serbia,2017,75.5390243902439,7020858,438.4690032955,3078428609.5392375
Slovakia,2017,77.1658536585366,5439232,1010.65,5497159820.8
Slovenia,2017,81.0292682926829,2066388,1636.25,3381127365.0
Spain,2017,83.2829268292683,46593236,2145.9820922824997,99988250077.4923
Sweden,2017,82.409756097561,10057698,4962.3,49909314785.4
Switzerland,2017,83.5512195121951,8451840,7751.974267576001,65518446193.66955
Ukraine,2017,71.7809756097561,45436041,158.95,7222058716.95
United Kingdom,2017,81.2560975609756,66058859,3324.192077633,219592335745.2754
