Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.419,78.618,78.823,79.057,79.237,79.493,79.686,80.247,80.429,80.544,80.688,80.798,80.703,80.781,81.013,81.183,81.377,81.504,81.608,81.666,79.676,79.173,79.472,..,78.209,78.021,77.316,77.746,77.511,77.258,77.118,76.972,76.631,76.433,76.076,75.796,75.356,74.9,73.79,74.147,74.41,74.589,73.352,72.986,71.861,71.578,71.352,70.948,70.614,70.074,69.504,68.913,68.136,67.371,66.561,65.645,64.698,63.846,62.866,61.851,60.831,59.75,58.9,57.78
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,72.646,72.921,73.22,73.499,73.786,74.033,74.243,75.1,75.163,75.316,75.493,75.693,75.73,75.786,76.114,76.404,76.639,76.873,77.037,77.168,74.632,74.087,74.502,..,72.401,72.19,70.773,71.669,71.428,71.202,70.957,70.66,70.321,70.05,69.853,69.643,69.476,69.12,68.354,68.551,68.705,68.84,68.194,68.048,67.384,67.117,66.964,66.537,66.121,65.55,64.866,64.037,63.222,62.407,61.426,60.401,59.409,58.328,57.358,56.313,55.071,53.82,52.618,51.365
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,76.833,..,75.183,74.99,73.904,74.592,74.362,74.131,73.939,73.715,73.378,73.144,72.88,72.641,72.352,71.95,71.023,71.296,71.502,71.656,70.73,70.478,69.584,69.309,69.121,68.704,68.328,67.769,67.14,66.422,65.618,64.824,63.923,62.946,61.972,60.998,60.019,58.983,57.844,56.671,55.634,54.439
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1580903,1568260,1561561,1552793,1543523,1533025,1520970,1507288,1493648,1481568,1472265,1467424,1465129,1462516,1459483,1455176,1452738,1451282,1447593,1441278,1433321,1420794,1404107,1388342,1585827,1590813,1595783,1600894,1606197,1611664,1617311,1623163,1629264,1635564,1603351,1558860,1528470,1496984,1374683,1405044,1435975,1467026,1345238,1318030,1290809,1265110,1239223,1212334,1186137,1159499,1133580,1107585,1080819,1055496,1029368,1000108,972115,947139,922894,898281,873289,848431,823469,798472
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1508124,1491913,1489449,1486823,1483416,1478462,1471577,1462729,1453666,1445951,1440756,1437771,1435272,1432576,1429621,1425527,1423363,1422175,1418783,1412913,1404528,1390872,1373582,1357630,1522951,1537717,1552498,1567139,1581587,1595872,1609976,1623876,1637526,1650978,1624592,1583476,1555135,1525651,1409595,1438916,1468454,1497736,1380818,1353967,1327023,1301156,1274323,1246192,1218694,1190625,1163172,1135541,1107034,1079983,1052327,1022164,993483,967434,941897,915854,889332,862888,836331,810328
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,3108778,3128530,3148281,3168033,3187784,3207536,3227287,3247039,3266790,3286542,3227943,3142336,3083605,3022635,2784278,2843960,2904429,2964762,2726056,2671997,2617832,2566266,2513546,2458526,2404831,2350124,2296752,2243126,2187853,2135479,2081695,2022272,1965598,1914573,1864791,1814135,1762621,1711319,1659800,1608800
Andorra,AND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,31458,31636,32023,33429,35636,37047,38002,39026,39821,40123,39099,38101,37671,36953,36337,35669,35679,36364,36959,37559,37994,38353,38912,39502,31371,31117,30743,30334,30143,30253,29576,28166,26515,24823,23966,23295,22471,21517,17830,18775,19674,20503,17041,16419,15756,15044,14300,13546,12797,12060,11345,10650,9979,9328,8697,8089,7504,6973,6532,6144,5766,5394,5035,4692
