Country,Year,Total,Life_expectancy,Population
Albania,1960,female,57.78,798472
Albania,1960,male,51.365,810328
Albania,1960,total,54.439,1608800
Albania,1961,female,58.9,823469
Albania,1961,male,52.618,836331
Albania,1961,total,55.634,1659800
Albania,1962,female,59.75,848431
Albania,1962,male,53.82,862888
Albania,1962,total,56.671,1711319
Albania,1963,female,60.831,873289
Albania,1963,male,55.071,889332
Albania,1963,total,57.844,1762621
Albania,1964,female,61.851,898281
Albania,1964,male,56.313,915854
Albania,1964,total,58.983,1814135
Albania,1965,female,62.866,922894
Albania,1965,male,57.358,941897
Albania,1965,total,60.019,1864791
Albania,1966,female,63.846,947139
Albania,1966,male,58.328,967434
Albania,1966,total,60.998,1914573
Albania,1967,female,64.698,972115
Albania,1967,male,59.409,993483
Albania,1967,total,61.972,1965598
Albania,1968,female,65.645,1000108
Albania,1968,male,60.401,1022164
Albania,1968,total,62.946,2022272
Albania,1969,female,66.561,1029368
Albania,1969,male,61.426,1052327
Albania,1969,total,63.923,2081695
Albania,1970,female,67.371,1055496
Albania,1970,male,62.407,1079983
Albania,1970,total,64.824,2135479
Albania,1971,female,68.136,1080819
Albania,1971,male,63.222,1107034
Albania,1971,total,65.618,2187853
Albania,1972,female,68.913,1107585
Albania,1972,male,64.037,1135541
Albania,1972,total,66.422,2243126
Albania,1973,female,69.504,1133580
Albania,1973,male,64.866,1163172
Albania,1973,total,67.14,2296752
Albania,1974,female,70.074,1159499
Albania,1974,male,65.55,1190625
Albania,1974,total,67.769,2350124
Albania,1975,female,70.614,1186137
Albania,1975,male,66.121,1218694
Albania,1975,total,68.328,2404831
Albania,1976,female,70.948,1212334
Albania,1976,male,66.537,1246192
Albania,1976,total,68.704,2458526
Albania,1977,female,71.352,1239223
Albania,1977,male,66.964,1274323
Albania,1977,total,69.121,2513546
Albania,1978,female,71.578,1265110
Albania,1978,male,67.117,1301156
Albania,1978,total,69.309,2566266
Albania,1979,female,71.861,1290809
Albania,1979,male,67.384,1327023
Albania,1979,total,69.584,2617832
Albania,1980,female,72.986,1318030
Albania,1980,male,68.048,1353967
Albania,1980,total,70.478,2671997
Albania,1981,female,73.352,1345238
Albania,1981,male,68.194,1380818
Albania,1981,total,70.73,2726056
Albania,1982,female,73.79,1374683
Albania,1982,male,68.354,1409595
Albania,1982,total,71.023,2784278
Albania,1983,female,74.147,1405044
Albania,1983,male,68.551,1438916
Albania,1983,total,71.296,2843960
Albania,1984,female,74.41,1435975
Albania,1984,male,68.705,1468454
Albania,1984,total,71.502,2904429
Albania,1985,female,74.589,1467026
Albania,1985,male,68.84,1497736
Albania,1985,total,71.656,2964762
Albania,1986,female,74.9,1496984
Albania,1986,male,69.12,1525651
Albania,1986,total,71.95,3022635
Albania,1987,female,75.356,1528470
Albania,1987,male,69.476,1555135
Albania,1987,total,72.352,3083605
Albania,1988,female,75.796,1558860
Albania,1988,male,69.643,1583476
Albania,1988,total,72.641,3142336
Albania,1989,female,76.076,1603351
Albania,1989,male,69.853,1624592
Albania,1989,total,72.88,3227943
Albania,1990,female,76.433,1635564
Albania,1990,male,70.05,1650978
Albania,1990,total,73.144,3286542
Albania,1991,female,76.631,1629264
Albania,1991,male,70.321,1637526
Albania,1991,total,73.378,3266790
Albania,1992,female,76.972,1623163
Albania,1992,male,70.66,1623876
Albania,1992,total,73.715,3247039
Albania,1993,female,77.118,1617311
Albania,1993,male,70.957,1609976
Albania,1993,total,73.939,3227287
Albania,1994,female,77.258,1611664
Albania,1994,male,71.202,1595872
Albania,1994,total,74.131,3207536
Albania,1995,female,77.511,1606197
Albania,1995,male,71.428,1581587
Albania,1995,total,74.362,3187784
Albania,1996,female,77.746,1600894
Albania,1996,male,71.669,1567139
Albania,1996,total,74.592,3168033
Albania,1997,female,77.316,1595783
Albania,1997,male,70.773,1552498
Albania,1997,total,73.904,3148281
Albania,1998,female,78.021,1590813
Albania,1998,male,72.19,1537717
Albania,1998,total,74.99,3128530
Albania,1999,female,78.209,1585827
Albania,1999,male,72.401,1522951
Albania,1999,total,75.183,3108778
Albania,2000,female,78.419,1580903
Albania,2000,male,72.646,1508124
Albania,2000,total,75.404,3089027
Albania,2001,female,78.618,1568260
Albania,2001,male,72.921,1491913
Albania,2001,total,75.639,3060173
Albania,2002,female,78.823,1561561
Albania,2002,male,73.22,1489449
Albania,2002,total,75.89,3051010
Albania,2003,female,79.057,1552793
Albania,2003,male,73.499,1486823
Albania,2003,total,76.142,3039616
Albania,2004,female,79.237,1543523
Albania,2004,male,73.786,1483416
Albania,2004,total,76.376,3026939
Albania,2005,female,79.493,1533025
Albania,2005,male,74.033,1478462
Albania,2005,total,76.621,3011487
Albania,2006,female,79.686,1520970
Albania,2006,male,74.243,1471577
Albania,2006,total,76.816,2992547
Albania,2007,female,80.247,1507288
Albania,2007,male,75.1,1462729
Albania,2007,total,77.549,2970017
Albania,2008,female,80.429,1493648
Albania,2008,male,75.163,1453666
Albania,2008,total,77.653,2947314
Albania,2009,female,80.544,1481568
Albania,2009,male,75.316,1445951
Albania,2009,total,77.781,2927519
Albania,2010,female,80.688,1472265
Albania,2010,male,75.493,1440756
Albania,2010,total,77.936,2913021
Albania,2011,female,80.798,1467424
Albania,2011,male,75.693,1437771
Albania,2011,total,78.092,2905195
Albania,2012,female,80.703,1465129
Albania,2012,male,75.73,1435272
Albania,2012,total,78.064,2900401
Albania,2013,female,80.781,1462516
Albania,2013,male,75.786,1432576
Albania,2013,total,78.123,2895092
Albania,2014,female,81.013,1459483
