Country,Year,Total,Life_expectancy,Population
Albania,2003,female,79.057,1552793
Albania,2003,male,73.499,1486823
Albania,2003,total,76.142,3039616
Andorra,2003,female,..,33429
Andorra,2003,male,..,36057
Andorra,2003,total,..,69486
Austria,2003,female,81.5,4180456
Austria,2003,male,75.9,3940967
Austria,2003,total,78.6317073170732,8121423
Belarus,2003,female,74.7,5219844
Belarus,2003,male,62.7,4576905
Belarus,2003,total,68.5536585365854,9796749
Belgium,2003,female,81.1,5299049
Belgium,2003,male,75.3,5077084
Belgium,2003,total,78.1292682926829,10376133
Bosnia and Herzegovina,2003,female,78.55,2178854
Bosnia and Herzegovina,2003,male,72.806,1999669
Bosnia and Herzegovina,2003,total,75.782,4178523
Bulgaria,2003,female,75.6,3991027
Bulgaria,2003,male,68.7,3784300
Bulgaria,2003,total,72.0658536585366,7775327
Channel Islands,2003,female,81.775,77566
Channel Islands,2003,male,77.323,73394
Channel Islands,2003,total,79.618,150960
Croatia,2003,female,78.23,2235934
Croatia,2003,male,71.17,2067465
Croatia,2003,total,74.6139024390244,4303399
Cyprus,2003,female,79.992,492191
Cyprus,2003,male,75.621,507399
Cyprus,2003,total,77.788,999590
Czechia,2003,female,78.5,5220599
Czechia,2003,male,72,4973399
Czechia,2003,total,75.1707317073171,10193998
Denmark,2003,female,79.5,2724332
Denmark,2003,male,74.9,2666242
Denmark,2003,total,77.1439024390244,5390574
Estonia,2003,female,76.9,733031
Estonia,2003,male,66,637689
Estonia,2003,total,71.3170731707317,1370720
Faroe Islands,2003,female,81.3,23128
Faroe Islands,2003,male,76.7,24904
Faroe Islands,2003,total,78.9439024390244,48032
Finland,2003,female,81.8,2663977
Finland,2003,male,75.1,2549037
Finland,2003,total,78.3682926829268,5213014
France,2003,female,82.7,32088612
France,2003,male,75.7,30161243
France,2003,total,79.1146341463415,62249855
Germany,2003,female,81.3,42368216
Germany,2003,male,75.6,40165960
Germany,2003,total,78.3804878048781,82534176
Gibraltar,2003,female,82.004,14189
Gibraltar,2003,male,77.158,14085
Gibraltar,2003,total,79.694,28274
Greece,2003,female,81.3,5535747
Greece,2003,male,76.5,5392323
Greece,2003,total,78.8414634146341,10928070
Hungary,2003,female,76.5,5316367
Hungary,2003,male,68.3,4813185
Hungary,2003,total,72.3,10129552
Iceland,2003,female,82.5,144690
Iceland,2003,male,79.5,144831
Iceland,2003,total,80.9634146341464,289521
Ireland,2003,female,80.7,2010035
Ireland,2003,male,75.7,1986486
Ireland,2003,total,78.1390243902439,3996521
Isle of Man,2003,female,77.534,39695
Isle of Man,2003,male,74.564,38354
Isle of Man,2003,total,76.096,78049
Italy,2003,female,82.8,29545386
Italy,2003,male,77.3,27767817
Italy,2003,total,79.9829268292683,57313203
Kosovo,2003,female,76.639,909898
Kosovo,2003,male,73.311,916536
Kosovo,2003,total,74.968,1826434
Latvia,2003,female,76.9,1238636
Latvia,2003,male,65.9,1049319
Latvia,2003,total,71.2658536585366,2287955
Liechtenstein,2003,female,81.6,17296
Liechtenstein,2003,male,78.4,16783
Liechtenstein,2003,total,79.9609756097561,34079
Lithuania,2003,female,77.9,1822531
Lithuania,2003,male,66.5,1592682
Lithuania,2003,total,72.0609756097561,3415213
Luxembourg,2003,female,80.8,228800
Luxembourg,2003,male,74.8,222830
Luxembourg,2003,total,77.7268292682927,451630
Moldova,2003,female,70.997,1561153
Moldova,2003,male,63.754,1342045
Moldova,2003,total,67.419,2903198
Monaco,2003,female,..,16645
Monaco,2003,male,..,15729
Monaco,2003,total,..,32374
Montenegro,2003,female,76.841,320045
Montenegro,2003,male,71.161,292222
Montenegro,2003,total,73.9317317073171,612267
Netherlands,2003,female,80.9,8209680
Netherlands,2003,male,76.2,8015622
Netherlands,2003,total,78.4926829268293,16225302
North Macedonia,2003,female,75.7,1031735
North Macedonia,2003,male,70.9,990990
North Macedonia,2003,total,73.2414634146342,2022725
Norway,2003,female,81.9,2302271
Norway,2003,male,77,2262584
Norway,2003,total,79.390243902439,4564855
Poland,2003,female,78.9,19707720
Poland,2003,male,70.5,18496850
Poland,2003,total,74.5975609756098,38204570
Portugal,2003,female,80.6,5416490
Portugal,2003,male,74,5042331
Portugal,2003,total,77.219512195122,10458821
Romania,2003,female,75.1,11222404
Romania,2003,male,67.7,10351922
Romania,2003,total,71.309756097561,21574326
Russian Federation,2003,female,71.85,77323220
Russian Federation,2003,male,58.53,67325398
Russian Federation,2003,total,65.0275609756098,144648618
San Marino,2003,female,..,14416
San Marino,2003,male,..,13427
San Marino,2003,total,..,27843
Serbia,2003,female,75.1,3936887
Serbia,2003,male,69.9,3543704
Serbia,2003,total,72.4365853658537,7480591
Slovakia,2003,female,77.6,2762896
Slovakia,2003,male,69.8,2610478
Slovakia,2003,total,73.6048780487805,5373374
Slovenia,2003,female,80.7,1019495
Slovenia,2003,male,73.2,976238
Slovenia,2003,total,76.8585365853659,1995733
Spain,2003,female,83,21422540
Spain,2003,male,76.4,20765105
Spain,2003,total,79.619512195122,42187645
Sweden,2003,female,82.4,4521156
Sweden,2003,male,77.9,4437073
Sweden,2003,total,80.0951219512195,8958229
Switzerland,2003,female,83.2,3749643
Switzerland,2003,male,78,3589358
Switzerland,2003,total,80.5365853658537,7339001
Ukraine,2003,female,74.06,25815987
Ukraine,2003,male,62.64,22499149
Ukraine,2003,total,68.2107317073171,48315136
United Kingdom,2003,female,80.7,30665632
United Kingdom,2003,male,76.3,28981945
United Kingdom,2003,total,78.4463414634146,59647577
